District,death,injury,gov_house_des_complete,gov_house_des_partial,others_house_des_complete,others_house_des_partial
Sindhupalchowk,3531,1573,710,37,63885,2751
Kathmandu,1223,7949,85,277,36973,50753
Nuwakot,1102,1051,15,14,57943,4200
Dhading,676,1218,93,58,81313,3092
Rasuwa,660,771,8,4,7040,2410
Gorkha,449,952,227,36,18064,13428
Bhaktapur,333,2101,5,51,18900,9054
Kavrepalanchowk,318,1179,48,31,49933,23714
Lalitpur,179,3052,217,198,17444,8064
Dolakha,170,662,517,0,48880,3120
Ramechhap,41,134,54,56,26743,13173
Makawanpur,33,229,46,177,18192,16609
Solukhumbu,22,100,75,142,9172,11137
Okhaldhunga,20,61,18,38,10031,3107
Sindhuli,15,230,92,231,18197,10028
Chitawan,10,143,0,40,472,754
Sunsari,9,35,5,83,7,375
Parsa,6,50,0,12,0,35
Lamjung,5,40,39,48,8472,8876
Mahottari,3,16,10,14,500,600
Rautahat,3,38,0,9,70,199
Kaski,3,38,10,45,1793,4947
Morang,2,59,0,51,3,112
Bhojpur,2,13,22,65,3194,6316
Sarlahi,2,70,7,27,0,0
Bara,2,62,1,0,50,0
Taplejung,1,7,0,69,4,28
Jhapa,1,25,0,46,95,144
Terhathum,1,14,0,60,180,1901
Udayapur,1,35,63,684,37,1069
Siraha,1,39,0,20,0,540
Dhanusha,1,45,0,8,4,47
Nawalparasi,1,41,0,14,910,3500
Palpa,1,16,2,24,1434,2665
Gulmi,1,11,81,277,2624,5114
Shyanja,1,23,9,49,5003,11829
Baglung,1,14,2,4,1937,1963
Rolpa,1,2,0,6,62,159
Rukum,1,6,0,47,117,328
Panchthar,0,9,22,5,229,926
Ilaam,0,10,34,42,375,2647
Dhankuta,0,5,0,39,929,1500
Shankhuwasabha,0,8,88,208,1886,4443
Khotang,0,8,18,55,6167,12780
Saptari,0,24,0,47,0,1161
Rupandehi,0,39,1,17,1,79
Kapilbastu,0,6,0,23,0,66
Arghakhanchi,0,0,0,8,258,1053
Tanahu,0,27,22,54,4877,14474
Manang,0,1,8,12,63,285
Mustang,0,1,2,19,76,409
Myagdi,0,11,0,0,115,1077
Parbat,0,21,12,63,3134,7038
Dang,0,10,1,28,7,1080
Pyuthan,0,9,0,0,3,66
Salyan,0,2,1,17,24,282
Dolpa,0,0,0,0,1,5
Mugu,0,0,0,0,0,0
Humla,0,0,0,0,0,0
Jumla,0,2,0,0,0,2
Kalikot,0,0,3,17,4,21
Jajarkot,0,3,0,8,0,1877
Dailekh,0,1,0,25,1,216
Surkhet,0,3,0,11,1,31
Bardiya,0,2,0,0,0,40
Banke,0,1,0,0,0,81
Kailali,0,1,0,5,0,4
Doti,0,0,0,1,0,0
Achhaam,0,0,0,0,0,55
Bajura,0,0,0,0,0,1
Bajhang,0,0,0,0,0,0
Darchula,0,0,0,0,0,0
Baitadi,0,0,0,0,0,0
Dadeldhura,0,0,0,0,0,1
Kanchanpur,0,1,0,1,0,0
